Author Name,University
Balaraman Ravindran,Indian Institute of Technology Madras
Aske Plaat,Leiden University
Bill Tomlinson,"University of California, Irvine"
Gauthier Picard,University of Toulouse
É Beaudry,University of Quebec at Montreal
Michael Luck,King's College London
Jun Wang,University College London
Munindar P. Singh,NC State University
Sebastian Rudolph,Technical University of Dresden
Steffen  Staab,University of Koblenz
Haris Aziz,UNSW Sydney
Henny Admoni,Carnegie Mellon University
Takeshi Takahashi,National Institute of Information and Communications Technology
Danilo Pianini,University of Bologna
Abdallah Saffidine,UNSW Sydney
Stefano Mariani,University of Modena and Reggio Emilia
Tim Baarslag,Center for Mathematics and Computer Science - Amsterdam
Giuseppe Perelli,Sapienza University of Rome
Cheng  Long,Nanyang Technological University
Patrick Mannion,University of Galway
Gerard Canal,King's College London
Marc  Serramia,"City, University of London"
Hardik Meisheri,Tata Consultancy Services India
Thomy  Phan,University of Southern California
Bernd J Dudzik,Delft University of Technology
Siqi  Liu,University College London
Sanne van Waveren,Georgia Institute of Technology
Yingfeng  Chen,"NetEase, Inc."
Alexander Lam,City University of Hong Kong
Nieves  Montes,Artificial Intelligence Research Institute
Jaël  Champagne Gareau,University of Quebec at Montreal
Minghong  Geng,Singapore Management University
Shengyi  Jiang,The University of Hong Kong
Li-Yong Shen,University of Chinese Academy of Sciences
Jun Rekimoto,The University of Tokyo
Daria Loi,Mozilla Corporation
Denys Jörg C Matthies,Fraunhofer Research Institution for Individualized and Cell-Based Medical Engineering IMTE
Boisy Gene Pitre,University of Louisiana System
Kazuki  Kawamura,The University of Tokyo
Yasith  Samaradivakara,National University of Singapore
Zhenman  Fang,Simon Fraser University
Siva Satyendra Sahoo,Interuniversity Microelectronics Centre
Sumit  Gulwani,Microsoft Corporation
Mehmet E. Belviranli,Colorado School of Mines
Jingling Xue,UNSW Sydney
David R. Kaeli,Northeastern University
Hadi Esmaeilzadeh,"University of California, San Diego"
Yang  Xiao,The University of Alabama
Xing  Yin,University of Mississippi
Mahmut Karakaya,Kennesaw State University
Jongse Park,Korea Advanced Institute of Science and Technology
Guangli  Li,Institute of Computing Technology Chinese Academy of Sciences
Zirui Zhuang,Beijing University of Posts and Telecommunications
Saleh  Alzahrani,The University of Alabama
Abhishek  Phadke,Texas A and M University - Corpus Christi
Raghu K. Ganti,IBM Thomas J. Watson Research Center
Max Goodwin Van-Kleek,University of Oxford
Shamsi T. Iqbal,Microsoft Research
Chien-Ming Huang,Johns Hopkins University
Hao-Chuan Wang,"University of California, Davis"
Nazanin Andalibi,"University of Michigan, Ann Arbor"
Jun  Han,Yonsei University
Ulrik  Lyngs,University of Oxford
Neiwen  Ling,Chinese University of Hong Kong
Chaojie  Gu,"College of Control Science and Engineering, Zhejiang University"
Hyunhoon  Jung,NAVER Corporation
Christopher  Flathmann,Clemson University
Nadia Karizat,"University of Michigan, Ann Arbor"
Wen  Duan,Clemson University
Shiye  Cao,Johns Hopkins University
Petteri Nurmi,University of Helsinki
Ngoc Thi Nguyen,University of Helsinki
G. Alonso,"Swiss Federal Institute of Technology, Zurich"
Ramachandran  Ramjee,Microsoft Research
John Mellor-Crummey,Rice University
Barry Smyth,University College Dublin
Gerald Quentin Maguire,KTH Royal Institute of Technology
Dejan Kostić,KTH Royal Institute of Technology
Ramesh  Karri,New York University
K. R. Jayaram,IBM Research
Marco  Serafini,University of Massachusetts Amherst
A. Scionti,LINKS Foundation
Matei A Zaharia,"University of California, Berkeley"
Shang-Guang Wang,Beijing University of Posts and Telecommunications
Zhongshu Gu,IBM Research
Martha A. Kim,Columbia University
Bo Ji,Virginia Polytechnic Institute and State University
Connor Imes,University of Southern California
Ahmed M. Abdelmoniem,Queen Mary University of London
Paolo Viviani,LINKS Foundation
Alireza Farshin,NVIDIA
Abhishek  Vijeev,Microsoft Research
Hamid  Ghasemirahni,KTH Royal Institute of Technology
Benjamin  Tan,New York University
Mariano  Scazzariello,KTH Royal Institute of Technology
Connor  Espenshade,Columbia University
Nelly Bencomo,Durham University
Pål Halvorsen,Simula Metropolitan Center for Digital Engineering
Marco Bertini,University of Florence
Shervin Shirmohammadi,University of Ottawa
Ali C. Begen,Ozyegin University
Farzad  Tashtarian,Alpen-Adria-Universität Klagenfurt
Xumiao Zhang,"University of Michigan, Ann Arbor"
Bentley James Oakes,University of Montreal
Xiao Zhu,Google LLC
Ekrem  Çetinkaya,Ozyegin University
Francis Y. Yan,Microsoft Research
Sushant  Gautam,Simula Metropolitan Center for Digital Engineering
Mohammad  Majidi,Oslo Metropolitan University
Ahmed Hamdy Zahran,University College Cork
Emily M Bender,University of Washington
Chirag Shah,University of Washington
Joel dos Santos,Federal Center for Technological Education Celso Suckow da Fonseca
Dong Qiu,Chongqing University of Posts and Telecommunications
D. Djenouri,University of the West of England
C.-T. Lu,Virginia Polytechnic Institute and State University
Christoph  Csallner,The University of Texas at Arlington
Manolis Terrovitis,"Athena - Research and Innovation Center in Information, Communication and Knowledge Technologies"
Aixin Sun,Nanyang Technological University
N  Asokan,University of Waterloo
Hridesh Rajan,Iowa State University
Jacques Klein,University of Luxembourg
Meiyappan Nagappan,David R. Cheriton School of Computer Science
V. Christophides,ENSEA Ecole Nationale Supérieure de l'Electronique et de ses Applications
Mary Lou Soffa,University of Virginia
Rahul Krishna,IBM Research
Tobias Hey,Karlsruhe Institute of Technology
Reyhaneh Jabbarvand,University of Illinois Urbana-Champaign
Zhiqian  Chen,Mississippi State University
Spiros  Skiadopoulos,University of the Peloponnese
Swaroopa Dola,University of Virginia
Jordan  Samhi,CISPA - Helmholtz Center for Information Security
Felipe  Toledo,University of Virginia
Trey  Woodlief,University of Virginia
Ali Reza Ibrahimzada,University of Illinois Urbana-Champaign
Marco  Alecci,University of Luxembourg
Vassilis  Kostakos,University of Melbourne
Ruchika Malhotra,Delhi Technological University
Weiwei  Jiang,Nanjing University of Information Science & Technology
Manuela Magalhaes A Veloso,JPMorgan Chase & Co.
F. J. Cazorla,Barcelona Supercomputing Center
Markus Borg,RISE Research Institutes of Sweden AB
Jon  Perez-Cerrolaza,Basque Research and Technology Alliance (BRTA)
Fábio Queda Bueno da Silva,Federal University of Pernambuco
André Luís Medeiros Santos,Federal University of Pernambuco
Christian  Reuter,Technical University of Darmstadt
Theodoros  Rekatsinas,"Swiss Federal Institute of Technology, Zurich"
Stephen H Bach,Brown University
Philipp  Kuehn,Technical University of Darmstadt
Werner Geyer,IBM Research
Eduardo Veas,"Know-Center, Graz"
Kwan-Liu Ma,"University of California, Davis"
Baptiste Caramiaux,Sorbonne University
Haoran Xie,Japan Advanced Institute of Science and Technology
Liang  Gou,Splunk Inc.
Bart P. Knijnenburg,Clemson University
Nandana Mihindukulasooriya,Technical University of Madrid
Hyrum S Anderson,Microsoft Corporation
Chun-Wei Chiang,Purdue University
Amr  Gomaa,German Research Center for Artificial Intelligence (DFKI)
Chunni  Ren,Inner Mongolia University of Science and Technology
ZoltánÁdám  Mann,University of Duisburg-Essen
Valeria Cardellini,Tor Vergata University of Rome
Marco Aldinucci,University of Turin
M. D. Dikaiakos,University of Cyprus
P. Kokkinos,Institute of Communication and Computer Systems
Luiz F. Bittencourt,University of Campinas
Pedram  Aminharati,Alpen-Adria-Universität Klagenfurt
Amit Sharma,Microsoft Research
Yishay Mansour,Tel Aviv University
G. J. Pappas,University of Pennsylvania
Cees G. M. Snoek,University of Amsterdam
Yung Hsiang Lu,College of Engineering
Dimitris Fotakis,National Technical University of Athens (NTUA)
Masashi Sugiyama,Riken
Yiling Chen,Harvard University
Donald Metzler,Google LLC
Bryan Catanzaro,NVIDIA
Patrick  Jaillet,Massachusetts Institute of Technology
Ghassan Hamarneh,Simon Fraser University
Penny  Sweetser,The Australian National University
Alexander Smola,"Amazon.com, Inc."
Makoto Onizuka,Osaka University
Sageev  Oore,Dalhousie University
B. Selman,Cornell University
Daniel Kifer,Pennsylvania State University
Adrian G Bors,University of York
Alexei A. Efros,"University of California, Berkeley"
Tao Mei,"JD.com, Inc."
Jilles Vreeken,CISPA - Helmholtz Center for Information Security
Yann LeCun,New York University
Katja Hofmann,Microsoft Research Cambridge
Soroush Vosoughi,Dartmouth College
Hongbo Deng,Alibaba Group Holding Limited
Yashar Moshfeghi,University of Strathclyde
Ludovico  Boratto,University of Cagliari
Tiejun Huang,Peking University
Torsten Hoefler,"Swiss Federal Institute of Technology, Zurich"
Georges Gagneré,University of Paris
Mostafa Dehghani,DeepMind Technologies Limited
Amir Rahmati,Stony Brook University
Yongquan Fu,National University of Defense Technology China
Xinjiang Lu,"Baidu, Inc."
Yier Jin,University of Florida
Ningyu  Zhang,Zhejiang University
Joost Huizinga,University of Wyoming
Luyang Liu,Rutgers University–New Brunswick
Li Jiang,Shanghai Jiao Tong University
Yanwei Fu,Fudan University
Fang-Yi Yu,George Mason University
Arnu  Pretorius,InstaDeep Ltd
André Bauer,The University of Chicago
David Bau,Massachusetts Institute of Technology
Ruibo  Liu,Dartmouth College
Shumin  Deng,National University of Singapore
Haotian Zhang,University of Washington
Lucas Fabian Olivero,University of Algarve
Xovee  Xu,University of Electronic Science and Technology of China
Wojciech  Kusa,Vienna University of Technology
Yiming  Chen,Tsinghua University
Haomin  Li,Shanghai Jiao Tong University
Haomin  Li,Shanghai Jiao Tong University
Shuaiqiang Wang,"Baidu, Inc."
Stratos Idreos,Harvard University
Peter Triantafillou,University of Warwick
T. Milo,Tel Aviv University
Richi  Nayak,Queensland University of Technology
K. McKinley,Google LLC
David G. Andersen,Carnegie Mellon University
Laura Dietz,University of New Hampshire Durham
Claudia Hauff,Spotify AB
Mari Sako,University of Oxford
Francesco Banterle,"Institute of Information Science and Technologies ""Alessandro Faedo"""
Aaron Yi Ding,Delft University of Technology
Arvind  Narayanan,Princeton University
Solon  Barocas,Cornell University
Dragan Gasevic,Monash University
Mukesh Mohania,"Indraprastha Institute of Information Technology, Delhi"
Michail Giannakos,Norwegian University of Science and Technology
Boban Vesin,University of South-Eastern Norway
Namrata  Srivastava,University of Pennsylvania
Mutlu Cukurova,University College London
Mohammad Khalil,University of Bergen
John Saint,Regent's University London
Andreas  Amundsen,Norwegian University of Science and Technology
Kristen Shinohara,Rochester Institute of Technology
Fred G. Martin,University of Massachusetts Lowell
Veronica  Catété,NC State University
Ashish  Aggarwal,University of Florida
Judith Odili Uchidiuno,Georgia Institute of Technology
Tim Menzies,NC State University
Azeddine  Beghdadi,Institut Galilée
M. Raulet,Ateme SA
Hassan Foroosh,University of Central Florida
Huynh Thi Thanh Binh,Hanoi University of Science and Technology
Wenhua  Yang,Nanjing University of Aeronautics and Astronautics
Sowmini Devi Veeramachaneni,Mahindra University
Will  Leeson,University of Virginia
Ammar N Abbas,Software Competence Center Hagenberg
Jaume Bacardit,Newcastle University
Bei Yu,Chinese University of Hong Kong
Leila A Takayama,"University of California, Santa Cruz"
Robin Roberson Murphy,Texas A&M University
Séverin Lemaignan,University of the West of England
Hirokazu Kato,Nara Institute of Science and Technology
Joel E. Fischer,University of Nottingham
Sarvapali Dyanand Ramchurn,University of Southampton
Wafa  Johal,School of Computing and Information Systems
Doenja  Oogjes,Eindhoven University of Technology
Filipa  Correia,Higher Technical Institute
Bibudhendu  Pati,Rama Devi Women's University
Bahar  Irfan,KTH Royal Institute of Technology
Reuben M. Aronson,Tufts University
Mattia Racca,Naver Labs Corporation
Eike  Schneiders,University of Nottingham
Isaac Sheidlower,Tufts University
Angus  Addlesee,Heriot-Watt University
Long-Jing Hsu,Indiana University Bloomington
Nathaniel Steele Dennler,University of Southern California
Alireza M. Kamelabad,KTH Royal Institute of Technology
Joel  Currie,University of Aberdeen
Marcel  Gohsen,Bauhaus University Weimar
Muhammad Kamran Malik,University of the Punjab
Feiyu Xiong,Alibaba Group Holding Limited
Marcelo Mendoza,Pontifical Catholic University of Chile
L. Rodrigues,Higher Technical Institute
David B Garlan,Carnegie Mellon University
Prajish  Prasad,FLAME University
Seth  Poulsen,Utah State University
Amanda S Fernandez,The University of Texas at San Antonio
S. Ghemawat,Google LLC
J. Wainer,University of Campinas
J. Dean,Google LLC
Wojciech Matusik,Massachusetts Institute of Technology
Paul Barham,Google LLC
Aakanksha Chowdhery,Google LLC
Seongkook Heo,University of Virginia
David  Rolnick,McGill University
Ke Sun,"University of California, San Diego"
Wenqiang  Chen,Massachusetts Institute of Technology
Changjian  Shui,McGill University
Matteo Nardelli,Bank of Italy
Arun Kumar,"University of California, San Diego"
Van Bich Lam,
Omar Alonso,"Amazon.com, Inc."
P. L. Rosin,Cardiff University
Arun Sharma,Indira Gandhi Delhi Technical University for Women
Jan Sickmann Hesthaven,EPFL
Pascal Hitzler,Kansas State University
C. Ardito,LUM University
Ala Al-Fuqaha,"Hamad Bin Khalifa University, College of Science and Engineering"
George D.  C. Cavalcanti,Federal University of Pernambuco
Erich Schubert,Technical University Dortmund
Junaid  Qadir,Qatar University
Shi Han,Microsoft Research
Chee Seng Chan,University of Malaya
Wei Ai,"University of Maryland, College Park"
Nir Rosenfeld,Technion - Israel Institute of Technology
Prayag Tiwari,Halmstad University
Sina Sajadmanesh,EPFL
Saeed Ullah Jan,University of Malakand
Behnam Rahdari,School of Computing and Information
Cheer Soon,State Key Laboratory of Fluid Power and Mechatronic Systems
Min  Zhang,Tsinghua University
Alicia Pérez,University of the Basque Country
Stefano  Ceri,Politecnico di Milano
Prush  Sa-Nga-Ngam,Mahidol University
Weichuan  Zhang,Griffith University
Chunyi  Peng,Purdue University
Kwangsung Oh,University of Nebraska Omaha
Tao  Lin,Communication University of China
Norapattra  Permpool,Mahidol University
Gian Andrei Leria,Mapúa University
Sung–Eui  Yoon,Korea Advanced Institute of Science and Technology
Gerhard Widmer,Johannes Kepler University Linz
Abdul Wahid,"Dongguk University, Seoul"
Muhammad Abulaish,South Asian University
Burak Kantarci,University of Ottawa
Andreas Holzinger,BOKU University
Jérôme Härri,EURECOM- Graduate School and Research Center in Digital Sciences
Romero Tori,University of São Paulo
Battista Biggio,University of Cagliari
Bhadrachalam  Chitturi,The University of Texas at Dallas
Dakshina Ranjan Kisku,"National Institute of Technology, Durgapur"
Ishtiaq Rasool Khan,Abu Dhabi School of Management
B. S. Harish,JSS Science and Technology University
Mohamed Reda Bouadjenek,Deakin University
Francisco Pérez-Galarce,Pontifical Catholic University of Chile
Ramesh Dharavath,"Indian Institute of Technology (Indian School of Mines), Dhanbad"
Qing Mi,Beijing University of Technology
Viral  Nagori,
Samarjeet  Borah,Sikkim Manipal Institute of Technology
Herman Tolle,Brawijaya University
Ali Mohammadi,Isfahan University of Technology
Shashank Kotyan,Kyushu University
Kwabena Sarpong,University of Electronic Science and Technology of China
Obinna  Agbodike,Chang Gung University
Peter Denning,Naval Postgraduate School
Carlos Baquero,University of Porto
Junbo Zhang,"JD.com, Inc."
Ansuman Banerjee,"Indian Statistical Institute, Kolkata"
Robin K. Hill,University of Wyoming
Sangwon  Lee,Inha University
Sauvik  Gon,Indian Association for the Cultivation of Science
Georgios Fainekos,Toyota Motor Corporation
N Shavit,Massachusetts Institute of Technology
Andrew Byun Kahng,"University of California, San Diego"
Albert Cohen,DeepMind Technologies Limited
Shigang Li,Beijing University of Posts and Telecommunications
Shenggan  Cheng,National University of Singapore
Burnett Margaret M.,Oregon State University
Giuseppe Nicosia,University of Catania
Rodica Ioana Lung,Babeş-Bolyai University
Peter T Yamak,Beijing University of Technology
W. Konen,Technology Arts Sciences TH Köln
Agne Brilingaite,Vilnius University
Muhammad Waqar Azhar,Chalmers University of Technology
Touradj Ebrahimi,EPFL
Roland Goecke,University of Canberra
Paul  Dütting,Google LLC
Varvara  Guljajeva,The Hong Kong University of Science and Technology (Guangzhou)
Mar  Canet Sola,Tallinn University
Elena Maria Baralis,Polytechnic of Turin
Chandrakant K Bhogayata,Bhavnagar University
Michael D. Moffitt,Google LLC
Ran  Yi,Shanghai Jiao Tong University
Brad Allan Myers,Carnegie Mellon University
Marco A. Gerosa,Northern Arizona University
Claire  Le Goues,Carnegie Mellon University
Igor Steinmacher,Northern Arizona University
Emily Judith Arteaga Garcia,Oregon State University
Nikolay  Matyunin,Honda Research Institute Europe GmbH
Marjan Kamyab,Donghua University
Beau G. Schelble,Clemson University
Zhenpeng  Shi,Boston University
Xiansheng  Hua,Alibaba Group Holding Limited
Dun Liu,Southwest Jiaotong University
Patrick Cheong-Iao Pang,Macao Polytechnic University
Rajeev  Ranjan,REVA University
N. Sadeh,Carnegie Mellon University
Wentong Cai,Nanyang Technological University
A. Gangemi,"Istituto Di Scienze E Tecnologie Della Cognizione, Rome"
Enrico Motta,The Open University
Denis Helic,Graz University of Technology
Yizhou Yu,The University of Hong Kong
Jukka Riekki,University of Oulu
Jinhui Tang,Nanjing University of Science and Technology
Peiyan Yuan,Henan Normal University
Ariel Rosenfeld,Jerusalem College of Technology
Abolfazl Jalilvand,University of Zanjan
J. G. Avina-Cervantes,Universidad de Guanajuato
Dong-Ming Yan,Chinese Academy of Sciences
Mario-Alberto Ibarra-Manzano,Universidad de Guanajuato
Mahmoud  Hassaballah,Prince Sattam Bin Abdulaziz University
Yunfei Yin,Chongqing University
D. Landa-Silva,University of Nottingham
João Inácio da Silva Filho,University of Santa Cecilia
Xiaohu Guo,The University of Texas at Dallas
Muhammad Asif Zahoor Raja,National Yunlin University of Science and Technology
Muhammad  Bilal,Hankuk University of Foreign Studies
Neelam Duhan,"J.C. Bose University of Science and Technology, YMCA"
Jefersson Alex Dos Santos,Federal University of Minas Gerais
Ferda Ernawan,University of Malaysia Pahang Al-Sultan Abdullah
Anand Nayyar,Duy Tan University
Reza Davtalab,School of Higher Technology
Lin Gao,Institute of Computing Technology Chinese Academy of Sciences
Noman  Bashir,University of Massachusetts Amherst
Thamir M. Qadah,Umm Al-Qura University
Chenchen Ding,National Institute of Information and Communications Technology
Sunder Ali Khowaja,Technological University Dublin
Lauri  Lovén,University of Oulu
Zhuolin  Li,Shanghai University
Partha Pratim Das,Indian Institute of Technology Kharagpur
P J. Narayanan,"International Institute of Information Technology, Hyderabad"
Snehasis Mukherjee,Shiv Nadar Institution of Eminence deemed to be University
Garima  Singh,Indian Institute of Technology Guwahati
Steffan  Hooper,The University of Auckland
Tony Haoran Feng,The University of Auckland
Mike Seymour,The University of Sydney
Duc Van Le,Nanyang Technological University
Thomas Haigh,University of Wisconsin-Milwaukee
Anna Fensel,"Semantic Technology Institute, Innsbruck"
Eddie Antonio Santos,University College Dublin
James  Finnie-Ansley,The University of Auckland
Edgard  Benítez-Guerrero,University of Veracruz
Sebastiano Battiato,University of Catania
Manuela Chessa,University of Genoa
Alessandro Ortis,University of Catania
D. M. Lyons,Fordham University
Avi Arampatzis,Democritus University of Thrace
Gang Zhou,The Computer Science Department
L. A. Sousa,Higher Technical Institute
Schahram Dustdar,Vienna University of Technology
Homa  Alemzadeh,University of Virginia
Aleksandar Ilic,University of Lisbon
Roghayeh Leila Barmaki,University of Delaware
Mohammad Aliannejadi,University of Amsterdam
Manoj  Ramanathan,Nanyang Technological University
Amanda  Watson,University of Virginia
Zhisheng  Ye,Peking University
Prianshu  Jha,Thapar Institute of Engineering & Technology
Matthias Zwicker,"University of Maryland, College Park"
Rafael H. Bordini,Pontifical Catholic University of Rio Grande do Sul
Soraia Raupp Musse,Pontifical Catholic University of Rio Grande do Sul
Dimitrios I. Diochnos,Gallogly College of Engineering
Rafael Piccin Torchelsen,Federal University of Pelotas
Marcelo Luiz Harry Diniz Lemos,Federal University of Minas Gerais
F. Xavier Gaya-Morey,University of the Balearic Islands
Ihab F. Ilyas,University of Waterloo
Odest Chadwicke Jenkins,"University of Michigan, Ann Arbor"
Alireza  Heidari,University of Waterloo
Anthony  Opipari,"University of Michigan, Ann Arbor"
Emanuel Sallinger,Vienna University of Technology
Marco  Favorito,Bank of Italy
Nakul R Dave,Gujarat Technological University
Daniel Gooch,The Open University
Nan  Zhang,Southern University of Science and Technology
Eiman Kanjo,Nottingham Trent University
Peter T. Wood,"Birkbeck, University of London"
Fabio Gadducci,University of Pisa
Nina Gierasimczuk,Technical University of Denmark
Shiv Ram Dubey,"Indian Institute of Information Technology, Allahabad"
Mohamed Ismail Roushdy,Future University in Egypt
Ruiqiong Chu Cai,Guangdong University of Technology
Pascal Felber,University of Neuchâtel
Angela Bonifati,Claude Bernard Lyon 1 University
Valerio Schiavoni,University of Neuchâtel
Hyung-sin  Kim,Seoul National University
Reza Rawassizadeh,Boston University
Zubair Shafiq,"University of California, Davis"
Xiao Huang,The Hong Kong Polytechnic University
Berken Utku Demirel,Nokia Bell Labs
Shuicheng  Yan,National University of Singapore
U. Villano,University of Sannio
Haoyi Xiong,"Baidu, Inc."
Anand Raghunathan,Purdue University
Soumendu Kumar Ghosh,Purdue University
Siddharth Mehrotra,Delft University of Technology
Hosam F. El-Sofany,King Khalid University
Xianzhi Wang,University of Technology Sydney
Chen  Wang,IBM Research
Xi  Zhu,University of Science and Technology of China
Bart Bogaerts,Vrije Universiteit Brussel
Jie  Xue,NYU Shanghai
Biplav Srivastava,University of South Carolina
Amit P. Sheth,University of South Carolina
Purushottam Kar,Indian Institute of Technology Kanpur
Ron Vetter,University of North Carolina Wilmington
Zhipeng  Gao,Zhejiang University
Yi-Ping Hung,National Taiwan University
Leonid Sigal,The University of British Columbia
Praveen Rao,University of Missouri
Rafael  Medina-Carnicer,University of Cordoba
Lifang He,Lehigh University
Mohammad Sultan Mahmud,Shenzhen University
Karl Fredric MacDorman,Indiana University-Purdue University Indianapolis
J. Benois-Pineau,University of Bordeaux
William Yeoh,Washington University in St. Louis
Debanga R. Neog,Indian Institute of Technology Guwahati
Jeevaraj S.,ABV-Indian Institute of Information Technology and Management
Maurizio Ferrari Dacrema,Politecnico di Milano
LinLin  Shen,Shenzhen University
Giovanna Castellano,University of Bari Aldo Moro
Andrew K Petersen,University of Toronto
Gustau Camps-Valls,University of Valencia
Michelle  Craig,University of Toronto
Leida Li,Xidian University
Raymond S. Pettit,University of Virginia
Hieke Keuning,Utrecht University
Ibrahim Albluwi,Princess Sumaya University
Earl Barr,University College London
Satish Chandra,Google LLC
Yunhong  Wang,Beihang University
Erskine Jerrell M. Delos Reyes,Technological Institute of the Philippines
Yan Yan,Xiamen University
Yanyun Qu,Xiamen University
Osmar R. Zaïane,University of Alberta
Dieter Pfoser,George Mason University
C. Conati,The University of British Columbia
Thomas Springer,Technical University of Dresden
Timothy Bickmore,Northeastern University
Tiffany Barnes,NC State University
Mirco Nanni,"Institute of Information Science and Technologies, Pisa"
Fabrizio Riguzzi,University of Ferrara
Wei-Shinn Ku,Auburn University
Francesco Leotta,Sapienza University of Rome
Stefán  Ólafsson,Reykjavík University
Christian  Beth,University of Kiel
Ricardo  Rodrigues,Institute of Systems and Computer Engineering Research and Development in Lisbon
Hao Li,Technical University of Munich
Jiahui  Gong,Tsinghua University
Merle M Reimann,Free University Amsterdam
Orlando Grabiel Toledano-López,"Universidad de las Ciencias Informáticas, Cuba"
Viraj  Kumar,Indian Institute of Science
Zhengping  Che,Midea Group
Iqra Altaf Gillani,National Institute of Technology Srinagar
Ebrahim  Ganjalipour,"Islamic Azad University, Lahijan Branch"
Luís Paulo Reis,University of Porto
José L. Oliveira,University of Aveiro
Stephan Günnemann,Carnegie Mellon University
Helena Sofia Andrade N P Pinto,University of Lisbon
João  Vinagre,European Commission Joint Research Centre
Ahcen  Aliouat,Badji Mokhtar University – Annaba
Huib Aldewereld,Utrecht University of Applied Sciences
Barak A. Pearlmutter,Maynooth University
Felipe Maia Galvão França,Federal University of Rio de Janeiro
Taylor T. Johnson,Vanderbilt University
Christian Schilling,Aalborg University
Diego Leonel C Dutra,Federal University of Rio de Janeiro
Chi Harold Liu,Beijing Institute of Technology
George  Sharkov,European Software Institute - TECNALIA
Aidan  Mooney,Maynooth University
Aman  Arora,Arizona State University
Tiago A. Almeida,Federal University of São Carlos
Jorge M.A. Gomes,"Faculty of Sciences, University of Lisbon"
Kamal Kaushik Varanasi,Indian Institute of Technology Patna
Avigdor Gal,Technion - Israel Institute of Technology
Paolo Papotti,EURECOM- Graduate School and Research Center in Digital Sciences
Himer Avila-George,University of Guadalajara
Amlan Chakrabarti,University of Calcutta
Debasis Das,Indian Institute of Technology Jodhpur
Nishkal Prakash,Indian Institute of Technology Kharagpur
Yossi Matias,Google LLC
Hanan Samet,"University of Maryland, College Park"
Szymon Rusinkiewicz,Princeton University
Peter Wonka,King Abdullah University of Science and Technology
Shinjiro Sueda,Texas A&M University
Emily Whiting,Boston University
Michael Zollhöfer,Meta
Olga Sorkine-Hornung,"Swiss Federal Institute of Technology, Zurich"
Lorenzo Porzi,Trentino Institute of Culture-Centre for Scientific and Technological Research
Jungdam Won,Seoul National University
Kaiwen Guo,Meta
Alexander Erben,Technical University of Munich
Ionut  Predoaia,University of York
Derek H Sleeman,University of Aberdeen
Nava  Tintarev,Maastricht University
Betty H C Cheng,Michigan State University
Lucio Davide Spano,University of Cagliari
Trevor E. Carlson,National University of Singapore
Federico Maria Cau,University of Cagliari
Daniel S Weld,University of Washington
Ponnurangam Kumaraguru,"International Institute of Information Technology, Hyderabad"
Phuc Hao Do,The Bonch-Bruevich Saint Petersburg State University of Telecommunications
Chang Hee Lee,Korea Advanced Institute of Science and Technology
Ze  Gao,Hong Kong University of Science and Technology
Minh-Huy Trinh,Viet Nam National University Ho Chi Minh City
Canh Toan Le,Viet Nam National University Ho Chi Minh City
Bharathan Balaji,"Amazon.com, Inc."
Edna Dias Canedo,University of Brasilia
Breno Bernard Nicolau de França,University of Campinas
Thanyathorn Thanapattheerakul,King Mongkut's University of Technology Thonburi
Hein Thura Aung,King Mongkut's University of Technology Thonburi
Pietro Michiardi,EURECOM- Graduate School and Research Center in Digital Sciences
Marc Alexa,Technical University of Berlin
Paul G. Kry,McGill University
Victor B. Zordan,Roblox Corporation
Wojciech Jarosz,Dartmouth College
Oliver Grau,Intel Corporation
Morgan  Mcguire,McGill University
Sheldon  Andrews,School of Higher Technology
Minglun Gong,University of Guelph
Iliyan Georgiev,Adobe Inc.
Chia-Kai Liang,Google LLC
Mosharaf  Chowdhury,"University of Michigan, Ann Arbor"
Valentin Radu,The University of Sheffield
Charles A. Kamhoua,U.S. Army Research Laboratory
Peng-Shuai Wang,Peking University
Michaël Gharbi,Adobe Inc.
Merlin  Nimier-David,NVIDIA
Thomas Müller,NVIDIA
Jonathan  Francis,Carnegie Mellon University
Zeshi  Yang,Tencent
Maria Korosteleva,"Swiss Federal Institute of Technology, Zurich"
Chenghong  Li,"The Chinese University of Hong Kong, Shenzhen"
Christos  Theodoropoulos,"IBM Research Europe, Ireland"
Sherman S. M. Chow,Chinese University of Hong Kong
René Mayrhofer,Johannes Kepler University Linz
Ana Maria Paiva,Örebro University
Michael Roland,Johannes Kepler University Linz
Daniel J. Szafir,The University of North Carolina at Chapel Hill
Guilherme F Lima,IBM Research
Oliver Karras,TIB – Leibniz Information Centre for Science and Technology and University Library
Yu Suzuki,Gifu University
Sumio Fujita,Yahoo Japan Corporation
Hugo  Sousa,"Institute for Systems and Computer Engineering, Technology and Science"
Dario Pasquali,Italian Institute of Technology
Hassan Hussein,TIB – Leibniz Information Centre for Science and Technology and University Library
Hooman Samani,University of the Arts London
Gabriel Zachmann,University of Bremen
P. M. Remagnino,Durham University
T. Kanda,Kyoto University
Seiji Yamada,The Graduate University for Advanced Studies
Fady Alnajjar,United Arab Emirates University
Georgios  Angelopoulos,University of Naples Federico II
Johannes Schöning,University of St. Gallen
Mohammad Shidujaman,"Independent University, Bangladesh"
André  Antunes,NOVA School of Science and Technology
Gian Luca Savino,University of St. Gallen
Roland Brémond,Gustave Eiffel University
Carlos A Velasco,Fraunhofer Institute for Applied Information Technology FIT
Takashi Komuro,Saitama University
Edwin Robert Hancock,University of York
Bürkhard  Stiller,University of Zurich
