Author Name,University
Nir Grinberg,Ben-Gurion University of the Negev
Heitor Murilo Gomes,Victoria University of Wellington
Jianye Hao,Huawei Technologies Noah's Ark Lab
Hamed Zamani,University of Massachusetts Amherst
Shu  Wu,Chinese Academy of Sciences
Dimitris  Spathis,Nokia Bell Labs
Jundong Li,University of Virginia
Huan  Li,Zhejiang University
Jianxun Lian,Microsoft Research Asia
Xu  Chen,Renmin University of China
Ling Luo,University of Melbourne
Mingfei Sun,The University of Manchester
Wen  Zhang,Zhejiang University
Han  Xiao,Aalto University
Feiyang  Sun,Xi'an Jiaotong University
Carl  Yang,Emory University
Jiawei Jiang,Wuhan University
Edward Raff,"University of Maryland, Baltimore County (UMBC)"
Chen  Shen,Alibaba Group Holding Limited
Renhe  Jiang,The University of Tokyo
Manas  Gaur,"University of Maryland, Baltimore County (UMBC)"
Yu Zhang,University of Illinois Urbana-Champaign
Edouard Fouché,Karlsruhe Institute of Technology
Seulki  Lee,Ulsan National Institute of Science and Technology
Renzhe  Xu,Tsinghua University
Olivier  Jeunen,"Amazon.com, Inc."
Jun  Wu,University of Illinois Urbana-Champaign
Lecheng  Zheng,University of Illinois Urbana-Champaign
Yaqing  Wang,"Baidu, Inc."
Aman Gupta,LinkedIn Corporation
Murari  Mandal,"Kalinga Institute of Industrial Technology, Bhubaneswar"
Yaming Yang,Xidian University
Zulong  Chen,Alibaba Group Holding Limited
Alexander  Rodríguez,"University of Michigan, Ann Arbor"
Eren  Kursun,Columbia University
Minghua  Ma,Microsoft Corporation
Zhen  Tian,Renmin University of China
Ziyue  Li,University of Cologne
Sara  Abdali,Microsoft Corporation
Min Yen Kan,National University of Singapore
Long Hong B Nguyen,Viet Nam National University Ho Chi Minh City
Rohit Verma,Intel Technology India Pvt Ltd.
Mohammad Shojafar,University of Surrey
David Stuart Touretzky,Carnegie Mellon University
Ioannis (Yiannis) Kompatsiaris,Information Technologies Institute
Giuseppe Amato,Italian National Research Council
Ravi Prakash,The University of Texas at Dallas
Stefanos Vrochidis,Information Technologies Institute
Werner Bailer,Joanneum Research
Evlampios  Apostolidis,Information Technologies Institute
Hui  Li,Xiamen University
Julio Cesar Duarte,Military Engineering Institute
Fabio  Carrara,Italian National Research Council
Daniel  de Sousa Moraes,Pontifical Catholic University of Campinas
Xiangyu  Shi,Harbin Institute of Technology
P. Missier,Newcastle University
Dietmar Jannach,Alpen-Adria-Universität Klagenfurt
A. del Bimbo,University of Florence
Abdulmotaleb El Saddik,University of Ottawa
Kazunori Komatani,Osaka University
Xuan Hieu Phan,"Vietnam National University, Hanoi"
Lorenzo Seidenari,University of Florence
Alan L. V. Guedes,Pontifical Catholic University of Rio de Janeiro
Munish Saini,Guru Nanak Dev University
Khaled H. Alyoubi,King Abdulaziz University
Minh-Tien Nguyen,Hung Yen University of Technology and Education
Antonio José Grandson Busson,Pontifical Catholic University of Rio de Janeiro
Mete  Kemertas,University of Toronto
